Date,KOSPI,PortA,PortB
2015-01-26,1935.68,1063.72,1012.11
2015-01-27,1952.4,1066.07,1014.64
2015-01-28,1961.58,1065.47,1013.95
2015-01-29,1951.02,1061.92,1009.72
2015-01-30,1949.26,1064.43,1012.49
2015-01-31,1949.26,1064.43,1012.5
2015-02-01,1949.26,1066.14,1014.41
2015-02-02,1952.68,1066.16,1014.44
2015-02-03,1951.96,1066.06,1014.33
2015-02-04,1962.79,1066.89,1015.24
2015-02-05,1952.84,1066.65,1014.98
2015-02-06,1955.52,1066.93,1015.28
2015-02-07,1955.52,1067.4,1015.8
2015-02-08,1955.52,1065.72,1013.99
2015-02-09,1947,1067.18,1015.46
2015-02-10,1935.86,1067.32,1015.61
2015-02-11,1945.7,1068.25,1016.64
2015-02-12,1941.63,1068.75,1017.22
2015-02-13,1957.5,1071.28,1020.08
2015-02-14,1957.5,1070.92,1019.7
2015-02-15,1957.5,1071.13,1019.93
2015-02-16,1958.23,1073.28,1022.25
2015-02-17,1961.45,1073,1021.93
2015-02-18,1961.45,1074.65,1023.73
2015-02-19,1961.45,1076.08,1025.35
2015-02-20,1961.45,1075.18,1024.33
2015-02-21,1961.45,1076.32,1025.66
2015-02-22,1961.45,1075.79,1025.11
2015-02-23,1968.39,1076.5,1025.84
2015-02-24,1976.12,1073.94,1023.1
2015-02-25,1990.47,1076.37,1025.91
2015-02-26,1993.08,1077.66,1027.29
2015-02-27,1985.8,1078.95,1028.68
2015-02-28,1985.8,1077.49,1027
2015-03-01,1985.8,1078.67,1028.38
2015-03-02,1996.81,1077.27,1026.86
2015-03-03,2001.38,1077.51,1027.13
2015-03-04,1998.29,1078.79,1028.54
2015-03-05,1998.38,1079.53,1029.4
2015-03-06,2012.94,1080.38,1030.36
2015-03-07,2012.94,1082.24,1032.49
2015-03-08,2012.94,1082.18,1032.42
2015-03-09,1992.82,1083.36,1033.74
2015-03-10,1984.77,1084.07,1034.52
2015-03-11,1980.83,1084.56,1035.06
2015-03-12,1970.59,1084.77,1035.28
2015-03-13,1985.79,1082.91,1033.08
2015-03-14,1985.79,1084.28,1034.5
2015-03-15,1985.79,1085.9,1036.27
2015-03-16,1987.33,1085.28,1035.59
2015-03-17,2029.91,1087.15,1037.7
2015-03-18,2028.45,1089,1039.66
2015-03-19,2037.89,1089.42,1040.14
2015-03-20,2037.24,1088.85,1039.51
2015-03-21,2037.24,1090.09,1040.9
2015-03-22,2037.24,1090.25,1041.08
2015-03-23,2036.59,1089.95,1040.76
2015-03-24,2041.37,1094.14,1045.79
2015-03-25,2042.81,1096.27,1048.24
2015-03-26,2022.56,1099.08,1051.58
2015-03-27,2019.8,1099.51,1052.06
2015-03-28,2019.8,1100.24,1052.86
2015-03-29,2019.8,1097.11,1049.42
2015-03-30,2030.04,1095.73,1047.89
2015-03-31,2041.03,1097.21,1049.43
2015-04-01,2028.45,1095.97,1048.01
2015-04-02,2029.07,1101.29,1054.04
2015-04-03,2045.42,1101.42,1054.19
2015-04-04,2045.42,1105.41,1058.64
2015-04-05,2045.42,1105.64,1058.88
2015-04-06,2046.43,1103.4,1056.29
2015-04-07,2047.03,1104.53,1057.57
2015-04-08,2059.26,1101.94,1054.54
2015-04-09,2058.87,1100.49,1052.95
2015-04-10,2087.76,1099.58,1051.97
2015-04-11,2087.76,1097.58,1049.73
2015-04-12,2087.76,1099.76,1052.05
2015-04-13,2098.92,1098.53,1050.71
2015-04-14,2111.72,1101.6,1054.14
2015-04-15,2119.96,1105.87,1058.73
2015-04-16,2139.9,1109.69,1062.9
2015-04-17,2143.5,1110.94,1064.26
2015-04-18,2143.5,1112.5,1066.15
2015-04-19,2143.5,1115.38,1069.51
2015-04-20,2146.71,1116.69,1070.98
2015-04-21,2144.79,1116.14,1070.37
2015-04-22,2143.89,1118.47,1072.85
2015-04-23,2173.41,1125.61,1080.72
2015-04-24,2159.8,1123.38,1078.42
2015-04-25,2159.8,1120.48,1075.25
2015-04-26,2159.8,1121.23,1076.1
2015-04-27,2157.54,1126.78,1082.06
2015-04-28,2147.67,1127.57,1082.93
2015-04-29,2142.63,1127.89,1083.29
2015-04-30,2127.17,1129.15,1084.74
2015-05-01,2127.17,1124.14,1079.45
2015-05-02,2127.17,1114.85,1068.7
2015-05-03,2127.17,1117.8,1071.92
2015-05-04,2132.23,1120.54,1074.87
2015-05-05,2132.23,1111.05,1064.65
2015-05-06,2104.58,1110.55,1064.08
2015-05-07,2091,1113.42,1067.22
2015-05-08,2085.52,1110.49,1063.99
2015-05-09,2085.52,1111.04,1064.57
2015-05-10,2085.52,1116.18,1070.28
2015-05-11,2097.38,1117.02,1071.24
