Date,Open,High,Low,Close,Adj Close,Volume
2020-01-10,299.109985,301.279999,292.950012,294.339996,292.584778,1405200
2020-01-13,294.380005,297.329987,292.510010,297.290009,295.517212,1399400
2020-01-14,300.140015,304.369995,296.739990,300.760010,298.966522,1731900
2020-01-15,299.279999,300.549988,296.720001,298.339996,296.560944,1082900
2020-01-16,301.820007,307.260010,300.950012,305.950012,304.125580,1606800
2020-01-17,307.049988,308.489990,302.160004,308.000000,306.163330,1929900
2020-01-21,308.190002,311.910004,307.309998,308.679993,306.839264,1500000
2020-01-22,311.000000,315.359985,310.750000,311.339996,309.483398,1504000
2020-01-23,312.000000,312.679993,307.549988,312.420013,310.556976,1556600
2020-01-24,315.890015,316.730011,303.709991,306.540009,304.712036,1632200
2020-01-27,297.029999,298.679993,292.690002,293.790009,292.038086,1910900
2020-01-28,298.779999,303.250000,293.359985,301.690002,299.890961,1815000
2020-01-29,302.230011,303.989990,295.910004,298.220001,296.441650,1808000
2020-01-30,318.399994,319.000000,305.760010,310.950012,309.095764,3943100
2020-01-31,308.000000,308.970001,297.269989,298.209991,296.431702,2436500
2020-02-03,300.000000,309.579987,300.000000,308.440002,306.600708,1947800
2020-02-04,316.559998,326.820007,316.119995,325.399994,323.459564,2531000
2020-02-05,331.230011,332.529999,323.700012,325.619995,323.678253,2157200
2020-02-06,326.000000,326.850006,323.000000,323.519989,321.590759,1262500
2020-02-07,320.630005,321.279999,314.720001,315.399994,313.519196,1602600
2020-02-10,313.980011,319.890015,313.000000,319.829987,317.922760,1088400
2020-02-11,322.869995,326.829987,322.869995,325.670013,323.727966,1520700
2020-02-12,328.000000,335.179993,328.000000,334.619995,332.624573,1687200
2020-02-13,335.049988,344.320007,333.619995,341.579987,339.543060,2110200
2020-02-14,341.489990,344.209991,336.760010,339.299988,337.276672,1109900
2020-02-18,323.239990,332.000000,323.000000,325.339996,323.399933,2749400
2020-02-19,331.179993,335.410004,330.299988,333.850006,331.859192,1539600
2020-02-20,331.950012,334.040009,324.019989,328.489990,326.531128,1887800
2020-02-21,326.220001,327.040009,315.239990,316.799988,314.910858,2160600
2020-02-24,299.200012,305.309998,295.119995,300.459991,298.668274,3102200
2020-02-25,305.820007,306.899994,289.390015,292.220001,290.477448,2549800
2020-02-26,296.239990,304.630005,294.619995,296.600006,294.831329,2379600
2020-02-27,285.640015,293.760010,282.010010,285.700012,283.996338,2872200
2020-02-28,275.820007,294.450012,273.660004,293.429993,291.680206,3199200
2020-03-02,296.640015,300.549988,284.019989,300.329987,298.539063,2347300
2020-03-03,300.299988,308.299988,288.589996,291.459991,289.721954,2510300
2020-03-04,298.869995,306.299988,293.799988,306.239990,304.413818,1917000
2020-03-05,297.850006,309.649994,296.000000,299.130005,297.346222,2037000
2020-03-06,290.769989,298.670013,285.250000,294.410004,292.654388,2048600
2020-03-09,273.000000,283.260010,267.230011,267.600006,266.004242,2649500
2020-03-10,275.679993,287.859985,267.440002,287.570007,285.855164,2372500
2020-03-11,278.540009,284.489990,272.579987,276.630005,274.980408,3144100
2020-03-12,257.070007,265.589996,237.449997,237.850006,236.431656,3684400
2020-03-13,254.000000,262.940002,242.630005,261.779999,260.218964,2692000
2020-03-16,223.820007,245.770004,213.080002,213.539993,212.266617,3096000
2020-03-17,217.070007,237.830002,203.729996,229.300003,227.932632,3669400
2020-03-18,203.440002,215.339996,181.380005,194.139999,192.982300,3607200
2020-03-19,190.520004,201.399994,187.020004,195.009995,193.847107,3343900
2020-03-20,200.009995,224.139999,187.110001,187.889999,186.769577,3904500
2020-03-23,190.679993,199.949997,185.839996,192.850006,191.699997,3027200
2020-03-24,209.490005,232.630005,207.369995,230.639999,230.639999,2921200
2020-03-25,231.820007,250.110001,228.309998,233.550003,233.550003,2837400
2020-03-26,240.179993,260.980011,235.000000,260.339996,260.339996,3166300
2020-03-27,253.350006,262.880005,240.399994,241.220001,241.220001,3203300
2020-03-30,246.460007,257.929993,241.240005,255.300003,255.300003,2129800
2020-03-31,252.250000,254.990005,238.089996,240.000000,240.000000,2783600
2020-04-01,228.949997,237.199997,220.210007,223.330002,223.330002,2465500
2020-04-02,219.580002,226.360001,215.919998,220.570007,220.570007,1891400
2020-04-03,223.059998,224.440002,213.289993,218.149994,218.149994,1490600
2020-04-06,231.619995,252.399994,229.080002,250.750000,250.750000,3327200
2020-04-07,264.179993,265.000000,251.440002,256.220001,256.220001,2577800
2020-04-08,259.890015,272.269989,257.329987,266.750000,266.750000,1892300
2020-04-09,271.700012,277.420013,255.759995,258.279999,258.279999,2620600
2020-04-13,256.209991,259.299988,250.240005,258.779999,258.779999,1410700
2020-04-14,266.200012,274.489990,263.589996,272.510010,272.510010,1626800
2020-04-15,266.000000,266.399994,258.549988,262.809998,262.809998,1542800
2020-04-16,270.010010,274.940002,263.290009,270.709991,270.709991,2077800
2020-04-17,278.160004,280.220001,271.470001,279.019989,279.019989,1831600
2020-04-20,273.029999,274.920013,266.339996,266.730011,266.730011,1782300
2020-04-21,262.420013,263.410004,242.570007,243.630005,243.630005,2999000
2020-04-22,255.460007,273.369995,255.460007,271.779999,271.779999,3565800
