Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,42.480000,42.750000,42.040001,42.230000,41.019089,17508100
2019-06-05,42.599998,42.840000,42.410000,42.480000,41.261921,20321500
2019-06-06,42.799999,43.090000,42.480000,42.709999,41.485325,23239300
2019-06-07,42.980000,43.250000,42.860001,42.919998,41.689301,18997600
2019-06-10,43.240002,43.240002,42.669998,43.070000,41.835003,14493100
2019-06-11,43.200001,43.299999,42.549999,42.669998,41.446472,17849300
2019-06-12,42.470001,43.169998,42.459999,43.080002,41.844719,15461900
2019-06-13,43.070000,43.139999,42.369999,42.500000,41.281349,13723000
2019-06-14,42.520000,42.869999,42.480000,42.759998,41.533894,12521700
2019-06-17,42.700001,42.900002,42.349998,42.880001,41.650455,13372800
2019-06-18,42.820000,43.330002,42.820000,43.070000,41.835003,21663600
2019-06-19,43.169998,43.590000,43.090000,43.500000,42.252674,20639100
2019-06-20,43.830002,44.110001,43.509998,43.599998,42.349804,22296300
2019-06-21,43.549999,44.000000,43.310001,43.669998,42.417797,36187100
2019-06-24,43.689999,43.900002,43.470001,43.759998,42.505219,23362500
2019-06-25,43.849998,44.290001,43.759998,43.759998,42.505219,26972500
2019-06-26,43.680000,43.799999,42.500000,42.990002,41.757301,38908300
2019-06-27,43.020000,43.560001,43.009998,43.430000,42.184681,20868100
2019-06-28,43.450001,43.720001,42.980000,43.320000,42.077835,37690900
2019-07-01,43.509998,43.880001,43.340000,43.770000,42.514935,20261700
2019-07-02,43.680000,44.220001,43.660000,44.220001,42.952030,15694400
2019-07-03,44.369999,44.560001,43.980000,44.400002,43.126865,9770000
2019-07-05,44.310001,44.349998,43.779999,43.919998,42.660633,17357900
2019-07-08,43.799999,43.869999,42.980000,43.299999,42.058407,22728000
2019-07-09,43.419998,43.799999,43.299999,43.369999,42.126404,13494600
2019-07-10,43.650002,44.110001,43.439999,44.060001,42.796619,14514800
2019-07-11,43.320000,43.560001,42.380001,42.980000,41.747585,36417000
2019-07-12,42.910000,42.990002,42.009998,42.400002,41.184219,31860500
2019-07-15,42.270000,42.770000,42.240002,42.750000,41.524181,19320600
2019-07-16,42.790001,42.970001,42.480000,42.849998,41.621311,18551600
2019-07-17,43.090000,43.189999,42.730000,42.740002,41.514469,15504300
2019-07-18,42.860001,43.060001,42.549999,43.060001,41.825291,13025500
2019-07-19,43.189999,43.209999,42.770000,42.770000,41.543610,22345900
2019-07-22,42.830002,43.020000,42.549999,42.820000,41.592175,11909000
2019-07-23,42.849998,43.230000,42.750000,43.090000,41.854431,18583400
2019-07-24,43.000000,43.000000,42.369999,42.889999,41.660164,17189600
2019-07-25,42.830002,43.000000,42.529999,42.669998,41.446472,16617300
2019-07-26,42.660000,43.169998,42.430000,43.090000,41.854431,19983100
2019-07-29,42.169998,43.000000,41.340000,41.450001,40.261459,61251600
2019-07-30,39.830002,40.240002,38.599998,38.790001,37.677731,90834600
